airport_1,airport_2,nsmiles
AVL,LGA,633
AVL,FLL,677
AVL,MIA,677
AVL,PIE,519
AVL,TPA,519
TUS,BWI,1976
TUS,DCA,1976
TUS,IAD,1976
AZA,PIT,1814
PHX,PIT,1814
PHX,SEA,1107
PHX,BWI,1999
PHX,DCA,1999
PHX,IAD,1999
PHX,STL,1262
AZA,FSD,1081
PHX,FSD,1081
PHX,GEG,1020
AZA,OAK,668
PHX,OAK,668
PHX,SFO,668
PHX,SJC,668
PHX,SMF,647
PHX,TPA,1788
PHX,SAT,843
AZA,SAN,324
PHX,SAN,324
PHX,PDX,1009
PHX,RDU,1891
PHX,RNO,601
PHX,SLC,507
PHX,TUL,935
BDL,PHX,2213
BDL,BWI,326
BDL,DCA,326
BDL,IAD,326
BDL,OAK,2625
BDL,SFO,2625
BDL,SJC,2625
BDL,FLL,1194
BDL,MIA,1194
BDL,BUR,2527
BDL,LAX,2527
BDL,LGB,2527
BDL,ONT,2527
BDL,SNA,2527
BDL,TPA,1111
SEA,BWI,2335
SEA,DCA,2335
SEA,IAD,2335
SEA,TPA,2520
BHM,DAL,597
BHM,DFW,597
BHM,BWI,682
BHM,DCA,682
BHM,IAD,682
BHM,MDW,583
BHM,ORD,583
BHM,HOU,570
BHM,IAH,570
BHM,EWR,902
BHM,HPN,902
BHM,ISP,902
BHM,JFK,902
BHM,LGA,902
BHM,SWF,902
BHM,FLL,661
BHM,MIA,661
BHM,BUR,1815
BHM,LAX,1815
BHM,LGB,1815
BHM,ONT,1815
BHM,SNA,1815
BHM,TPA,459
ELP,PHX,347
ELP,BWI,1741
ELP,DCA,1741
ELP,IAD,1741
ELP,HOU,677
ELP,IAH,677
ELP,EWR,1944
ELP,HPN,1944
ELP,ISP,1944
ELP,JFK,1944
ELP,LGA,1944
ELP,BUR,715
ELP,LAX,715
ELP,LGB,715
ELP,ONT,715
ELP,SNA,715
CAK,DFW,1023
CLE,DAL,1023
CLE,DFW,1023
CAK,DEN,1224
CLE,DEN,1224
CAK,PHX,1754
CLE,PHX,1754
CAK,SEA,2055
CLE,SEA,2055
CAK,BNA,448
CLE,BNA,448
CAK,DCA,314
CAK,IAD,314
CLE,BWI,314
CLE,DCA,314
CLE,IAD,314
CAK,STL,498
CLE,STL,498
CAK,MYR,557
CLE,MYR,557
CAK,HOU,1106
CAK,IAH,1106
CLE,HOU,1106
CLE,IAH,1106
CAK,MCO,895
CLE,MCO,895
CAK,MSP,657
CLE,MSP,657
CAK,EWR,459
CAK,HPN,459
CAK,JFK,459
CAK,LGA,459
CLE,EWR,459
CLE,HPN,459
CLE,ISP,459
CLE,JFK,459
CLE,LGA,459
CLE,SWF,459
CAK,RSW,1025
CLE,RSW,1025
CAK,LAS,1846
CLE,LAS,1846
CAK,OAK,2187
CAK,SFO,2187
CAK,SJC,2187
CLE,OAK,2187
CLE,SFO,2187
CLE,SJC,2187
CAK,FLL,1080
CAK,MIA,1080
CLE,FLL,1080
CLE,MIA,1080
CAK,BUR,2073
CAK,LAX,2073
CAK,LGB,2073
CAK,ONT,2073
CAK,SNA,2073
CLE,BUR,2073
CLE,LAX,2073
CLE,LGB,2073
CLE,ONT,2073
CLE,SNA,2073
CAK,TPA,932
CLE,PIE,932
CLE,TPA,932
CAK,SAN,2045
CLE,SAN,2045
CAK,PHL,363
CLE,PHL,363
CAK,SRQ,967
CLE,SRQ,967
BNA,PHX,1449
BNA,BWI,587
BNA,DCA,587
BNA,IAD,587
BNA,EWR,803
BNA,HPN,803
BNA,ISP,803
BNA,JFK,803
BNA,LGA,803
BNA,SWF,803
BNA,OAK,1969
BNA,SFO,1969
BNA,SJC,1969
BNA,PIE,612
BNA,TPA,612
BOI,DAL,1282
BOI,DFW,1282
BOI,AZA,749
BOI,PHX,749
BOI,MDW,1448
BOI,ORD,1448
BOI,EWR,2167
BOI,HPN,2167
BOI,JFK,2167
BOI,LGA,2167
BOI,OAK,523
BOI,SFO,523
BOI,SJC,523
BOI,BUR,688
BOI,LAX,688
BOI,LGB,688
BOI,ONT,688
BOI,SNA,688
BOS,DAL,1562
BOS,DFW,1562
MHT,DAL,1562
MHT,DFW,1562
PVD,DAL,1562
PVD,DFW,1562
BOS,PIT,496
MHT,PIT,496
PVD,PIT,496
BOS,DEN,1754
MHT,DEN,1754
PVD,DEN,1754
BOS,PHX,2300
MHT,PHX,2300
PVD,PHX,2300
BOS,SEA,2496
MHT,SEA,2496
PVD,SEA,2496
BOS,CAK,563
BOS,CLE,563
MHT,CAK,563
MHT,CLE,563
PVD,CAK,563
PVD,CLE,563
BOS,BNA,942
MHT,BNA,942
PVD,BNA,942
BOS,BUF,395
MHT,BUF,395
PVD,BUF,395
BOS,BZN,1991
MHT,BZN,1991
PVD,BZN,1991
BOS,BWI,418
BOS,DCA,418
BOS,IAD,418
MHT,BWI,418
MHT,DCA,418
MHT,IAD,418
PVD,BWI,418
PVD,DCA,418
PVD,IAD,418
BOS,MDW,867
BOS,ORD,867
MHT,MDW,867
MHT,ORD,867
PVD,MDW,867
PVD,ORD,867
BOS,CHS,836
MHT,CHS,836
PVD,CHS,836
BOS,CLT,737
MHT,CLT,737
PVD,CLT,737
BOS,CMH,640
MHT,CMH,640
PVD,CMH,640
BOS,STL,1047
MHT,STL,1047
PVD,STL,1047
BOS,MYR,756
MHT,MYR,756
PVD,MYR,756
BOS,JAX,1028
MHT,JAX,1028
PVD,JAX,1028
BOS,DTW,632
MHT,DTW,632
PVD,DTW,632
BOS,HOU,1609
BOS,IAH,1609
MHT,HOU,1609
MHT,IAH,1609
PVD,HOU,1609
PVD,IAH,1609
BOS,MCO,1142
MHT,MCO,1142
PVD,MCO,1142
BOS,MSP,1124
MHT,MSP,1124
PVD,MSP,1124
BOS,EWR,200
BOS,HPN,200
BOS,ISP,200
BOS,JFK,200
BOS,LGA,200
MHT,ISP,200
PVD,EWR,200
BOS,RSW,1271
MHT,RSW,1271
PVD,RSW,1271
BOS,LAS,2381
MHT,LAS,2381
PVD,LAS,2381
BOS,IND,818
MHT,IND,818
PVD,IND,818
BOS,OAK,2704
BOS,SFO,2704
BOS,SJC,2704
MHT,OAK,2704
MHT,SFO,2704
MHT,SJC,2704
PVD,OAK,2704
PVD,SFO,2704
PVD,SJC,2704
BOS,FLL,1283
BOS,MIA,1283
MHT,FLL,1283
MHT,MIA,1283
PVD,FLL,1283
PVD,MIA,1283
BOS,BUR,2611
BOS,LAX,2611
BOS,LGB,2611
BOS,ONT,2611
BOS,SNA,2611
MHT,BUR,2611
MHT,LAX,2611
MHT,LGB,2611
MHT,ONT,2611
MHT,SNA,2611
PVD,BUR,2611
PVD,LAX,2611
PVD,LGB,2611
PVD,ONT,2611
PVD,SNA,2611
BOS,SDF,829
MHT,SDF,829
PVD,SDF,829
BOS,CVG,752
MHT,CVG,752
PVD,CVG,752
BOS,SMF,2636
MHT,SMF,2636
PVD,SMF,2636
BOS,TPA,1204
MHT,TPA,1204
PVD,TPA,1204
BOS,MCI,1256
MHT,MCI,1256
PVD,MCI,1256
BOS,SAT,1764
MHT,SAT,1764
PVD,SAT,1764
BOS,MKE,860
MHT,MKE,860
PVD,MKE,860
BOS,MSY,1371
MHT,MSY,1371
PVD,MSY,1371
BOS,SAN,2588
MHT,SAN,2588
PVD,SAN,2588
BOS,ORF,487
BOS,PHF,487
MHT,ORF,487
MHT,PHF,487
PVD,ORF,487
PVD,PHF,487
BOS,PBI,1222
MHT,PBI,1222
PVD,PBI,1222
BOS,PDX,2537
MHT,PDX,2537
PVD,PDX,2537
BOS,PHL,289
MHT,PHL,289
PVD,PHL,289
BOS,RDU,625
MHT,RDU,625
PVD,RDU,625
BOS,RIC,487
MHT,RIC,487
PVD,RIC,487
BOS,SLC,2105
MHT,SLC,2105
PVD,SLC,2105
BOS,SAV,917
MHT,SAV,917
PVD,SAV,917
BOS,SRQ,1240
MHT,SRQ,1240
PVD,SRQ,1240
BTV,BWI,441
